22/04/2022,19:30,VfL Wolfsburg,-,1. FSV Mainz 05,5:0 (5:0)
23/04/2022,14:30,SpVgg Greuther Fürth,-,Bayer Leverkusen,1:4 (1:2)
,14:30,RB Leipzig,-,1. FC Union Berlin,1:2 (0:0)
,14:30,SC Freiburg,-,Bor. Mönchengladbach,3:3 (0:2)
,14:30,Eintracht Frankfurt,-,1899 Hoffenheim,2:2 (1:1)
,14:30,1. FC Köln,-,Arminia Bielefeld,3:1 (2:1)
,17:30,Bayern München,-,Borussia Dortmund,3:1 (2:0)
24/04/2022,14:30,VfL Bochum,-,FC Augsburg,0:2 (0:2)
,16:30,Hertha BSC,-,VfB Stuttgart,2:0 (1:0)

1,,Bayern München,31,24,3,4,92:30,62
2,,Borussia Dortmund,31,20,3,8,77:46,31
3,,Bayer Leverkusen,31,16,7,8,72:44,28
4,,RB Leipzig,31,16,6,9,66:33,33
5,,SC Freiburg,31,14,10,7,52:37,15
6,,1. FC Union Berlin,31,14,8,9,42:40,2
7,,1. FC Köln,31,13,10,8,47:45,2
8,,1899 Hoffenheim,31,13,7,11,52:47,5
9,,Eintracht Frankfurt,31,10,10,11,42:44,-2
10,,1. FSV Mainz 05,31,11,6,14,43:41,2
11,,Bor. Mönchengladbach,31,10,8,13,45:58,-13
12,,VfL Wolfsburg,31,11,4,16,39:51,-12
13,,VfL Bochum,31,10,6,15,30:45,-15
14,,FC Augsburg,31,9,8,14,36:47,-11
15,,Hertha BSC,31,9,5,17,34:66,-32
16,,VfB Stuttgart,31,6,10,15,36:55,-19
17,,Arminia Bielefeld,31,5,11,15,24:49,-25
18,,SpVgg Greuther Fürth,31,3,8,20,25:76,-51
